% Model,WS240516_2D+2DAS_STREED_explicit_heating_v28_IMPROVED.mph
% Version,COMSOL 6.2.0.290
% Date,"May 17 2024, 08:13"
% Table,Study 1.2 - Matching Condition CSV - 
% 0 I_in (W/m^2),1 P_in (W),2 V_ratio (1),3 SWP (kg/kWh),4 Q_feed (W/m^2),5 Q_air (W/m^2),6 P_feed (W),7 P_air (W),8 T_max (degC)
999.9938100606179,439.42,241.99999999999997,1.3454201609492817,870645.4936974125,30383.743118973765,717.4118868066679,10.652263990913776,84.78879498324909
999.9938100606179,439.42,243.99999999999997,1.373544957455173,870223.9838929818,32323.7722581997,717.0645627278169,11.332420562149224,85.06980822141145
999.9938100606179,439.42,246,1.4022560769748493,869761.6962922674,34370.730539921155,716.6836377448283,12.050065518200336,85.35565713265703
999.9938100606179,439.42,248,1.4315565299849526,869256.4614800973,36529.88305977218,716.2673242596002,12.807044753709244,85.64632280106969
999.9938100606179,439.42,250,1.4614407633145479,868705.9910376967,38806.191447071105,715.8137366150621,13.605097770787882,85.94170370131354
999.9938100606179,439.42,252,1.4919001558640783,868108.0767053403,41204.64169624753,715.3210552052004,14.44597261373459,86.2416658641344
999.9938100606179,439.42,254,1.5229234898466102,867460.2782463572,43730.53455628678,714.7872692749984,15.331527676932186,86.54605392935292
999.9938100606179,439.42,256,1.5544961297160607,866760.064674319,46389.410398984,714.2102932916388,16.263705364341188,86.8546793391389
999.9938100606179,439.42,258,1.5866002965820942,866005.0149462678,49186.52835235381,713.5881323157247,17.244349478410633,87.16732605220432
999.9938100606179,439.42,260,1.6192145129394873,865192.7109742714,52126.94082611293,712.9187938427996,18.275231348034467,87.48374368384441
999.9938100606179,439.42,262,1.6523112997448117,864320.6668904652,55215.783181468374,712.2002295177433,19.358151384144666,87.8036245130175
999.9938100606179,439.42,264,1.6858608760197982,863386.3866202307,58458.45179108587,711.4303825750701,20.49500150591668,88.1266354397988
999.9938100606179,439.42,266,1.7198268843609683,862387.4140227797,61859.84981341822,710.6072291547704,21.687500716108794,88.45239214363033
999.9938100606179,439.42,268,1.754168509254241,861321.6233093094,65424.23568946903,709.7290176068709,22.93714198540544,88.78048901560953
999.9938100606179,439.42,270,1.7888408635353066,860186.6862003517,69156.31568742808,708.7938294290898,24.245575288629453,89.11046022830078
999.9938100606179,439.42,272,1.823794992330372,858980.5093470739,73060.22458569221,707.7999397019888,25.614250241480075,89.44181381517694
999.9938100606179,439.42,274,1.8589758556820533,857701.1898826942,77139.44340225069,706.74578046334,27.04438725720375,89.77402164083401
999.9938100606179,439.42,276,1.8943271703472229,856347.1331880505,81396.90088136563,705.6300377469536,28.53701312690121,90.1065337158688
999.9938100606179,439.42,278,1.9297858025448502,854916.7985827896,85835.1763327735,704.4514420322187,30.093032133106707,90.43875152532024
999.9938100606179,439.42,280,1.9652871722192413,853408.954530111,90456.20735031694,703.2089785328114,31.713123578598637,90.77006846989349
999.9938100606179,439.42,282,2.0007641713017823,851822.8078121574,95261.09122110147,701.9019936372177,33.397672162256136,91.09987033099986
999.9938100606179,439.42,284,2.036148862872455,850157.7339553064,100250.30185934789,700.5299727791725,35.14684403409466,91.42752414441514
999.9938100606179,439.42,286,2.0713628315886345,848412.9171853088,105423.44807575445,699.0922437606944,36.96050204670297,91.75232676447081
